source_file,record_path,quantity,method,point_estimate,ci_low,ci_high,n_sites,nominal_draws,retained_draws,shortfall,endpoint_touches_0_or_1
results/cohort_arm_statistics.json,/inclusive_sensitivity/auc_distance,auc_distance,bootstrap_auc (protein cluster),0.5441347270615563,0.43575552928798883,0.6487455197132617,,200000,200000,0,
results/cohort_arm_statistics.json,/inclusive_sensitivity/logistic[0],logistic[0],"logistic Wald / cluster-robust (analytic, no resampling)",0.5869031574839212,0.2345569194748815,1.468536153338609,,,not stored,,
results/cohort_arm_statistics.json,/inclusive_sensitivity/logistic[1],logistic[1],"logistic Wald / cluster-robust (analytic, no resampling)",0.7622808814738148,0.25019623713211464,2.322465553123664,,,not stored,,
results/cohort_arm_statistics.json,/inclusive_sensitivity/logistic[2],logistic[2],"logistic Wald / cluster-robust (analytic, no resampling)",0.9522732209239113,0.30564356287472844,2.9669340285123984,,,not stored,,
results/cohort_arm_statistics.json,/inclusive_sensitivity/auc_other_predictors/plddt,plddt,bootstrap_auc (protein cluster),0.5695412311265969,0.48022114452384584,0.6551088185415488,,20000,not stored,,
results/cohort_arm_statistics.json,/inclusive_sensitivity/auc_other_predictors/rsa,rsa,bootstrap_auc (protein cluster),0.39939024390243905,0.3150955453460352,0.49426333372292347,,20000,not stored,,
results/cohort_arm_statistics.json,/inclusive_sensitivity/auc_other_predictors/n_annot_residues,n_annot_residues,bootstrap_auc (protein cluster),0.5672909407665505,0.48216677784205103,0.6592437681282618,,20000,not stored,,
results/cohort_arm_statistics.json,/inclusive_sensitivity/sift_comparator,sift_comparator,bootstrap_auc (protein cluster),0.6191191191191191,0.5352042210750075,0.7037277586722487,155,20000,not stored,,
results/cohort_arm_statistics.json,/auc_distance,auc_distance,bootstrap_auc (protein cluster),0.5268233875828813,0.41674431974078835,0.6315393408472534,,200000,200000,0,
results/cohort_arm_statistics.json,/logistic[0],logistic[0],"logistic Wald / cluster-robust (analytic, no resampling)",0.7671419246922336,0.2736887712210966,2.1502772291125005,,,not stored,,
results/cohort_arm_statistics.json,/logistic[1],logistic[1],"logistic Wald / cluster-robust (analytic, no resampling)",1.0452620890745437,0.3051445402910502,3.580509203324992,,,not stored,,
results/cohort_arm_statistics.json,/logistic[2],logistic[2],"logistic Wald / cluster-robust (analytic, no resampling)",1.3133829603311213,0.3826764129365062,4.507659061741932,,,not stored,,
results/cohort_arm_statistics.json,/auc_other_predictors/plddt,plddt,bootstrap_auc (protein cluster),0.5551537070524413,0.46392482517482514,0.6411935785605996,,20000,not stored,,
results/cohort_arm_statistics.json,/auc_other_predictors/rsa,rsa,bootstrap_auc (protein cluster),0.41335141651597346,0.32747639796659406,0.5124598741876546,,20000,not stored,,
results/cohort_arm_statistics.json,/auc_other_predictors/n_annot_residues,n_annot_residues,bootstrap_auc (protein cluster),0.555379746835443,0.4714878779231702,0.6452384581881533,,20000,not stored,,
results/cohort_arm_statistics.json,/sift_comparator,sift_comparator,bootstrap_auc (protein cluster),0.6061554512258738,0.5221801425943358,0.6901504243488439,152,20000,not stored,,
robustness/results/robustness_statistics.json,/primary_auc/site_bootstrap,site_bootstrap,bootstrap_auc (protein cluster),0.5268233875828813,0.43673469387755104,0.6173687782887222,,200000,200000,0,
robustness/results/robustness_statistics.json,/primary_auc/protein_cluster_bootstrap,protein_cluster_bootstrap,bootstrap_auc (protein cluster),0.5268233875828813,0.41674431974078835,0.6315393408472534,,200000,200000,0,
robustness/results/robustness_statistics.json,/inclusive_sensitivity_auc/site_bootstrap,site_bootstrap,bootstrap_auc (protein cluster),0.5441347270615563,0.4553844562647754,0.632703488372093,,200000,200000,0,
robustness/results/robustness_statistics.json,/inclusive_sensitivity_auc/protein_cluster_bootstrap,protein_cluster_bootstrap,bootstrap_auc (protein cluster),0.5441347270615563,0.43575552928798883,0.6487455197132617,,200000,200000,0,
robustness/results/robustness_statistics.json,/within_protein_distance_percentile_auc,within_protein_distance_percentile_auc,bootstrap_auc (protein cluster),0.5110006027727547,0.4116068447007203,0.6115175147694613,,20000,20000,0,
robustness/results/robustness_statistics.json,/regression_models[0],regression_models[0],"logistic Wald / cluster-robust (analytic, no resampling)",0.7671419246922336,0.2736887712210966,2.1502772291125005,,,not stored,,
robustness/results/robustness_statistics.json,/regression_models[1],regression_models[1],"logistic Wald / cluster-robust (analytic, no resampling)",1.3133829603311213,0.3826764129365062,4.507659061741932,,,not stored,,
robustness/results/robustness_statistics.json,/regression_models[2],regression_models[2],"logistic Wald / cluster-robust (analytic, no resampling)",1.8216959675351851,0.44617318823109575,7.4378655770213955,,,not stored,,
robustness/results/robustness_statistics.json,/regression_models[3],regression_models[3],"logistic Wald / cluster-robust (analytic, no resampling)",1.4735816443446161,0.4008738676783322,5.416773298607193,,,not stored,,
robustness/results/robustness_statistics.json,/regression_models[4],regression_models[4],"logistic Wald / cluster-robust (analytic, no resampling)",1.3438978712289518,0.3823553136075338,4.7235161223561,,,not stored,,
robustness/results/robustness_statistics.json,/regression_models[5],regression_models[5],"logistic Wald / cluster-robust (analytic, no resampling)",0.5869031574839212,0.2345569194748815,1.468536153338609,,,not stored,,
robustness/results/robustness_statistics.json,/regression_models[6],regression_models[6],"logistic Wald / cluster-robust (analytic, no resampling)",0.9522732209239113,0.30564356287472844,2.9669340285123984,,,not stored,,
robustness/results/robustness_statistics.json,/regression_models[7],regression_models[7],"logistic Wald / cluster-robust (analytic, no resampling)",1.1208216434848806,0.3184656188101771,3.9446680655751933,,,not stored,,
robustness/results/robustness_statistics.json,/regression_models[8],regression_models[8],"logistic Wald / cluster-robust (analytic, no resampling)",0.9911737163167433,0.29587210699729793,3.3204391785607412,,,not stored,,
robustness/results/robustness_statistics.json,/regression_models[9],regression_models[9],"logistic Wald / cluster-robust (analytic, no resampling)",0.8865555755712671,0.27213197170028236,2.8882339096934753,,,not stored,,
robustness/results/robustness_statistics.json,/sift_sequence_constraint_diagnostic/cohorts/exclude_annotation_coincident/sift_auc,sift_auc,bootstrap_auc (protein cluster),0.6061554512258738,0.5221801425943358,0.6901504243488439,,20000,20000,0,
robustness/results/robustness_statistics.json,/sift_sequence_constraint_diagnostic/cohorts/exclude_annotation_coincident/distance_auc,distance_auc,bootstrap_auc (protein cluster),0.5317336115458181,0.41801405993683133,0.646577625570776,,20000,20000,0,
robustness/results/robustness_statistics.json,/sift_sequence_constraint_diagnostic/cohorts/exclude_annotation_coincident/sift_minus_distance_auc,sift_minus_distance_auc,paired_auc_difference (protein cluster),0.07442183968005567,-0.036886844864257466,0.1915291204090428,,20000,20000,0,
robustness/results/robustness_statistics.json,/sift_sequence_constraint_diagnostic/cohorts/exclude_annotation_coincident/correlation_log10_distance_plus_1A_vs_sift,correlation_log10_distance_plus_1A_vs_sift,cluster_boot_spearman (retained count not stored),-0.41545275363032247,-0.5677079793469408,-0.2425070786943635,,4000,not stored,,
robustness/results/robustness_statistics.json,/sift_sequence_constraint_diagnostic/cohorts/include_annotation_coincident/sift_auc,sift_auc,bootstrap_auc (protein cluster),0.6191191191191191,0.5352042210750075,0.7037277586722487,,20000,20000,0,
robustness/results/robustness_statistics.json,/sift_sequence_constraint_diagnostic/cohorts/include_annotation_coincident/distance_auc,distance_auc,bootstrap_auc (protein cluster),0.5507173840507174,0.440277021872606,0.6643458036264531,,20000,20000,0,
robustness/results/robustness_statistics.json,/sift_sequence_constraint_diagnostic/cohorts/include_annotation_coincident/sift_minus_distance_auc,sift_minus_distance_auc,paired_auc_difference (protein cluster),0.06840173506840175,-0.03841374701735857,0.1792606783900658,,20000,20000,0,
robustness/results/robustness_statistics.json,/sift_sequence_constraint_diagnostic/cohorts/include_annotation_coincident/correlation_log10_distance_plus_1A_vs_sift,correlation_log10_distance_plus_1A_vs_sift,cluster_boot_spearman (retained count not stored),-0.44171376856711225,-0.5895567311577908,-0.26873399173811435,,4000,not stored,,
