key,predictor,orientation,n,n_proteins,n_distinct_values,auc,auc_as_stored_ascending,auc_signed_check,ci_low,ci_high,boot_nominal,boot_retained,diff_n_common,diff_vs_distance,diff_ci_low,diff_ci_high,diff_boot_nominal,diff_boot_retained,diff_note
min_seq_sep_eligible,"min |pos - target pos|, eligible ACT_SITE+BINDING set",smaller -> screen-positive,163,48,126,0.5498040988547318,0.45019590114526825,0.5498040988547318,0.43407045516153675,0.652629733852698,20000,20000,163.0,0.02298071127185053,-0.049380106782909605,0.09026660920778551,20000.0,20000.0,
seq_sep_to_nearest3d,|pos - nearest_feat_pos| (seq sep to 3D-nearest target),smaller -> screen-positive,163,48,135,0.5333785412899337,0.46662145871006633,0.5333785412899337,0.41550221364954437,0.6391446766966744,20000,20000,163.0,0.006555153707052397,-0.08375022093479963,0.09332982908531491,20000.0,20000.0,
protein_length,protein_length,larger -> screen-positive,163,48,47,0.5493520192887281,0.5493520192887281,0.5493520192887281,0.4437904559414127,0.6596844589184524,20000,20000,163.0,0.022528631705846847,-0.15872974998579792,0.2154142056640919,20000.0,20000.0,
plddt,site pLDDT,larger -> screen-positive,163,48,156,0.5551537070524413,0.5551537070524413,0.5551537070524413,0.4636676032642159,0.6407906548637854,20000,20000,163.0,0.028330319469559995,-0.0667388543310574,0.13135046014202198,20000.0,20000.0,
rsa_inv,inverse relative solvent accessibility,smaller -> screen-positive,163,48,163,0.5866485834840265,0.41335141651597346,0.5866485834840265,0.4890609978093515,0.6719102694710799,20000,20000,163.0,0.05982519590114521,-0.04130009895672544,0.1619905317896389,20000.0,20000.0,
n_annot_residues,n_annot_residues (annotated-target count),larger -> screen-positive,163,48,14,0.555379746835443,0.555379746835443,0.555379746835443,0.47011267605633805,0.6485675836242416,20000,20000,163.0,0.028556359252561725,-0.08225753587617661,0.15229544868186498,20000.0,20000.0,
raw_conditions,raw_conditions (bookkeeping negative control),larger -> screen-positive,163,48,5,0.4615732368896926,0.4615732368896926,0.4615732368896926,0.42592592592592593,0.4957457390399731,20000,20000,163.0,-0.06525015069318868,-0.18328967366693089,0.05748663459158684,20000.0,20000.0,
min_dist_A,min heavy-atom distance (declared predictor),smaller -> screen-positive,163,48,163,0.5268233875828813,0.4731766124171187,0.5268233875828813,0.4161064593848292,0.6305511618234994,20000,20000,,0.0,,,,,reference predictor; difference against itself is identically 0
