cohort,role,n_sites,n_proteins,n_positive,auc,ci_low,ci_high,draws,seed,bootstrap,naive_site_ci_low,naive_site_ci_high,naive_site_draws,naive_site_seed
exclude_annotation_coincident,primary,163,48,79,0.5268233875828813,0.41674431974078835,0.6315393408472534,200000,20260729,protein-clustered,0.43673469387755104,0.6173687782887222,200000,20260728
include_annotation_coincident,inclusive_sensitivity,166,50,82,0.5441347270615563,0.43575552928798883,0.6487455197132617,200000,20260729,protein-clustered,0.4553844562647754,0.632703488372093,200000,20260728
