path,bytes,sha256,source,source_url,source_version,license,license_url,transformation
data/af/P00359.cif,303094,7b99e487c11cd248bbbfb8a382cd4ef12cf51141265ab77353748070db0f4505,AlphaFold Protein Structure Database monomer model,https://alphafold.ebi.ac.uk/files/AF-P00359-F1-model_v6.cif,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,none
data/af/P00924.cif,393351,8294df0cf967cc55d54ad647c9f64bed11adcc5df206daf724a47d26e66bef62,AlphaFold Protein Structure Database monomer model,https://alphafold.ebi.ac.uk/files/AF-P00924-F1-model_v6.cif,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,none
data/af/P02829.cif,666616,22213f6eca670ec03cb571999cf9b8ce31b85cbc31f1b86730994551c524961c,AlphaFold Protein Structure Database monomer model,https://alphafold.ebi.ac.uk/files/AF-P02829-F1-model_v6.cif,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,none
data/af/P04050.cif,1621869,e40fb466fab2e004ff1015c4604f11f31359a71c755a3da41784b11a3ee62ff5,AlphaFold Protein Structure Database monomer model,https://alphafold.ebi.ac.uk/files/AF-P04050-F1-model_v6.cif,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,none
data/af/P06244.cif,384321,322b1ae3185e951ead9094cb21c7ee00acb194506554d5262d579ea12fbd3d1c,AlphaFold Protein Structure Database monomer model,https://alphafold.ebi.ac.uk/files/AF-P06244-F1-model_v6.cif,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,none
data/af/P06782.cif,590672,e5e38a892c01b8354210ecb4a45265d6ca8361a2968c44869bc52aff3db7450b,AlphaFold Protein Structure Database monomer model,https://alphafold.ebi.ac.uk/files/AF-P06782-F1-model_v6.cif,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,none
data/af/P08018.cif,596107,37e5710cbed6d001e9af42cf30050ef3576e94efd47f7ed30bc33b1bbe6073d4,AlphaFold Protein Structure Database monomer model,https://alphafold.ebi.ac.uk/files/AF-P08018-F1-model_v6.cif,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,none
data/af/P11792.cif,748835,41dac21656ab2c72481975c5ccd571d8aeb8c33c9c8a96fabacabad5bf8d8435,AlphaFold Protein Structure Database monomer model,https://alphafold.ebi.ac.uk/files/AF-P11792-F1-model_v6.cif,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,none
data/af/P11986.cif,493972,e3687e3d020570bb65f4d187bcd1e3fb5a6088a95ab3f07eceed94765cbc6840,AlphaFold Protein Structure Database monomer model,https://alphafold.ebi.ac.uk/files/AF-P11986-F1-model_v6.cif,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,none
data/af/P12683.cif,971241,ab4920c6a0f8bdd2a77b3012230510e453f7a6840c839e79dfa795500f17281d,AlphaFold Protein Structure Database monomer model,https://alphafold.ebi.ac.uk/files/AF-P12683-F1-model_v6.cif,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,none
