arm,filter,n_sites,n_proteins,n_positive,n_negative,auc,ci_low,ci_high,nominal_draws,retained_draws,seed
primary_exclude_annotation_coincident,all substitutions,163,48,79,84,0.5268233875828813,0.4161064593848292,0.6305511618234994,20000,20000,20260728
primary_exclude_annotation_coincident,|dpos| <= 2 excluded,157,48,77,80,0.5405844155844156,0.4285697523690327,0.6483664138261516,20000,20000,20260728
inclusive_sensitivity,all substitutions,166,50,82,84,0.5441347270615563,0.43452129948364887,0.6476594658373781,20000,20000,20260728
inclusive_sensitivity,|dpos| <= 2 excluded,157,48,77,80,0.5405844155844156,0.4285697523690327,0.6483664138261516,20000,20000,20260728
