scheme,n_permutations,observed_auc,null_mean,null_sd,null_p2_5,null_p97_5,null_min,null_max,p_two_sided_about_0.5_addone,p_two_sided_about_0.5_raw,p_two_sided_about_null_mean_addone,p_two_sided_about_null_mean_raw,z_about_null_mean
unrestricted_across_163_substitutions,20000,0.5268233875828813,0.5001785940325497,0.04524083158115652,0.41063517179023507,0.5883062085593731,0.32881253767329716,0.6832429174201327,0.5547722613869307,0.55475,0.5570221488925554,0.557,0.5889545487804321
within_protein_48_clusters,20000,0.5268233875828813,0.5119963381555154,0.030478444626320225,0.45313441832429174,0.5726341169379144,0.39828209764918626,0.6424050632911392,0.4136793160341983,0.41365,0.6300184990750463,0.63,0.48647657743537637
