cohort,n_sites,n_proteins,n_positive,sift_auc,sift_ci_low,sift_ci_high,distance_auc,distance_ci_low,distance_ci_high,sift_minus_distance,difference_ci_low,difference_ci_high
exclude_annotation_coincident,152,48,71,0.6061554512258738,0.5221801425943358,0.6901504243488439,0.5317336115458181,0.41801405993683133,0.646577625570776,0.07442183968005567,-0.036886844864257466,0.1915291204090428
include_annotation_coincident,155,50,74,0.6191191191191191,0.5352042210750075,0.7037277586722487,0.5507173840507174,0.440277021872606,0.6643458036264531,0.06840173506840175,-0.03841374701735857,0.1792606783900658
legacy_158,152,48,71,0.6061554512258738,0.5208031426242774,0.6902992040452336,0.5317336115458181,0.41930363254951336,0.6465740983893558,0.07442183968005567,-0.03564264308815654,0.1917312879039604
