cohort,n_sites,n_proteins,n_positive,estimate,ci_low,ci_high,draws
primary_excluding_annotation_coincident,163,48,79,0.5268233875828813,0.41674431974078835,0.6315393408472534,200000
inclusive_exact_overlaps_at_0A,166,50,82,0.5441347270615563,0.43575552928798883,0.6487455197132617,200000
inclusive_exclude_hog1_pby107_position_resolution,165,50,81,0.5404174015285126,0.4334074240491651,0.6450329666042447,20000
legacy_phase0_supp6_selected_excluding_overlaps,158,48,74,0.5220398970398971,0.4075690685351206,0.6316990939091454,20000
primary_serine_threonine_only,147,48,67,0.49906716417910446,0.38915498357064626,0.6054819824050592,20000
primary_tyrosine_only,16,12,12,0.6041666666666666,0.2718831168831169,1.0,19335
inclusive_exclude_prm15_s158_phosphointermediate,165,49,81,0.538506760728983,0.4287111426223594,0.6409485361987408,20000
