cohort,stratum,n_sites,n_proteins,n_positive,estimate,ci_low,ci_high,draws
exclude_annotation_coincident,all,163,48,79,0.5268233875828813,0.41674431974078835,0.6315393408472534,200000
exclude_annotation_coincident,site_plddt_ge_50,79,31,43,0.48901808785529716,0.3464621212121212,0.6339956011730206,20000
exclude_annotation_coincident,site_plddt_ge_70,60,24,31,0.4593993325917686,0.30267448512585815,0.6181344118844116,20000
exclude_annotation_coincident,site_and_target_plddt_ge_70,58,23,30,0.45,0.28757965686274506,0.6063114774666264,20000
exclude_annotation_coincident,site_plddt_ge_90,35,16,22,0.5699300699300699,0.37074235288521007,0.7464123376623376,19999
exclude_annotation_coincident,site_and_target_plddt_ge_90,28,13,16,0.640625,0.4642857142857143,0.7894736842105263,20000
exclude_annotation_coincident,pair_pae_max_le_5,37,20,20,0.48823529411764705,0.2608695652173913,0.665775752884886,20000
exclude_annotation_coincident,pair_pae_max_le_10,44,21,25,0.4357894736842105,0.20833027859237538,0.6330077250335868,20000
exclude_annotation_coincident,pair_pae_max_le_15,55,23,30,0.52,0.32142857142857145,0.6789781495510662,20000
exclude_annotation_coincident,high_confidence_joint,41,20,22,0.41626794258373206,0.19166666666666668,0.6166666666666667,20000
exclude_annotation_coincident,very_high_confidence_joint,27,13,15,0.6833333333333333,0.4807692307692308,0.8640098765432097,19999
include_annotation_coincident,all,166,50,82,0.5441347270615563,0.43575552928798883,0.6487455197132617,200000
include_annotation_coincident,site_plddt_ge_50,82,33,46,0.5223429951690821,0.38008474431551353,0.6649435446418205,20000
include_annotation_coincident,site_plddt_ge_70,63,26,34,0.5070993914807302,0.35064935064935066,0.6630002923976608,20000
include_annotation_coincident,site_and_target_plddt_ge_70,61,25,33,0.5,0.33653513824884795,0.6578947368421053,20000
include_annotation_coincident,site_plddt_ge_90,38,18,25,0.6215384615384615,0.43478260869565216,0.790914141414141,20000
include_annotation_coincident,site_and_target_plddt_ge_90,31,15,19,0.6973684210526315,0.5357142857142857,0.8421052631578947,19997
include_annotation_coincident,pair_pae_max_le_5,40,22,23,0.5549872122762148,0.33222419028340083,0.7296296296296296,20000
include_annotation_coincident,pair_pae_max_le_10,47,23,28,0.49624060150375937,0.2769598416289593,0.692310167310167,20000
include_annotation_coincident,pair_pae_max_le_15,58,25,33,0.5636363636363636,0.37666043083900225,0.7142857142857143,20000
include_annotation_coincident,high_confidence_joint,44,22,25,0.4863157894736842,0.2708333333333333,0.6837967121810994,20000
include_annotation_coincident,very_high_confidence_joint,30,15,18,0.7361111111111112,0.553030303030303,0.9027777777777778,19999
