distance_definition,n_sites,n_proteins,n_positive,estimate,ci_low,ci_high,draws
dist_act_site_A,107,31,54,0.570230607966457,0.45279545454545456,0.6772504177109439,20000
dist_binding_A,155,46,77,0.5251415251415251,0.4147021593447506,0.6315623270367294,20000
dist_core_A,163,48,79,0.5268233875828813,0.41674431974078835,0.6315393408472534,200000
dist_core_plus_site_A,163,48,79,0.5260699216395419,0.41446464815044287,0.6330457621205234,20000
dist_all_with_dna_bind_A,163,48,79,0.5250150693188668,0.4138662397617275,0.6303594855908099,20000
