cohort,formula,or_per_10x_distance_plus_1A,ci_low,ci_high,cluster_p
exclude_annotation_coincident,y ~ logd,0.7671419246922336,0.2736887712210966,2.1502772291125005,0.6141926967940623
exclude_annotation_coincident,y ~ logd + plddt + rsa,1.3133829603311213,0.3826764129365062,4.507659061741932,0.6648116367417689
exclude_annotation_coincident,y ~ logd + plddt + rsa + pae_pair_max,1.8216959675351851,0.44617318823109575,7.4378655770213955,0.40337610289069137
exclude_annotation_coincident,y ~ logd + plddt + rsa + C(pmt_aa_wt),1.4735816443446161,0.4008738676783322,5.416773298607193,0.5594114110721192
exclude_annotation_coincident,y ~ logd + plddt + rsa + log_n_annot + log_protein_length + C(pmt_aa_wt),1.3438978712289518,0.3823553136075338,4.7235161223561,0.6448795919887764
include_annotation_coincident,y ~ logd,0.5869031574839212,0.2345569194748815,1.468536153338609,0.25478134142679965
include_annotation_coincident,y ~ logd + plddt + rsa,0.9522732209239113,0.30564356287472844,2.9669340285123984,0.9327834955149372
include_annotation_coincident,y ~ logd + plddt + rsa + pae_pair_max,1.1208216434848806,0.3184656188101771,3.9446680655751933,0.8589828231292077
include_annotation_coincident,y ~ logd + plddt + rsa + C(pmt_aa_wt),0.9911737163167433,0.29587210699729793,3.3204391785607412,0.9885324692555653
include_annotation_coincident,y ~ logd + plddt + rsa + log_n_annot + log_protein_length + C(pmt_aa_wt),0.8865555755712671,0.27213197170028236,2.8882339096934753,0.8416162432038128
