outcome,n_sites,n_proteins,rho,ci_low,ci_high,adjusted_log_outcome_beta_per_10x_distance_plus_1A,adjusted_ci_low,adjusted_ci_high,adjusted_cluster_p
phenotypes,163,48,-0.099085815734,-0.273904422126,0.083528640981,-0.258177629418,-0.938413832874,0.422058574037,0.456936582338
neglog10_min_raw_q,163,48,-0.092928010995,-0.263851392763,0.088768114136,-0.254877368693,-0.986177286954,0.476422549569,0.494536165831
sscore_rms,163,48,-0.094332773594,-0.274033400346,0.086527064086,-0.109086983225,-0.289455140598,0.071281174149,0.23585478893
sscore_mean_abs,163,48,-0.114746648489,-0.282782090077,0.056438794644,-0.091442751323,-0.235253090631,0.052367587985,0.212662018613
sscore_max_abs,163,48,-0.07616617066,-0.246223339036,0.086302728016,-0.129959976661,-0.395797470199,0.135877516877,0.337969374392
